#  an         x(")        x_er(")     y(")        y_er(")    UT1-TAI(s)  UT1_er(s)    dPsi(")     dPsi_er(")  dEps(")     dEps_er(")
   1906.25   -0.100172    0.021434   -0.019618    0.019114  -0.0001613   0.0000000    0.234417    0.000000    0.016310    0.000000
   1906.30   -0.116472    0.016746   -0.026477    0.016038   0.0002217   0.0000000    0.234784    0.000000    0.015875    0.000000
   1906.35   -0.135255    0.020521    0.005505    0.018000  -0.0000146   0.0000000    0.233651    0.000000    0.015751    0.000000
   1906.40   -0.152440    0.015682    0.033493    0.016189  -0.0001890   0.0000000    0.233001    0.000000    0.015372    0.000000
   1906.45   -0.141174    0.014322    0.081084    0.015547   0.0002680   0.0000000    0.230788    0.000000    0.015951    0.000000
   1906.50   -0.120126    0.017460    0.105374    0.016693  -0.0001102   0.0000000    0.227622    0.000000    0.016511    0.000000
   1906.55   -0.106461    0.014683    0.115370    0.015374  -0.0000795   0.0000000    0.225339    0.000000    0.016086    0.000000
   1906.60   -0.096308    0.013218    0.130512    0.016958   0.0001538   0.0000000    0.223354    0.000000    0.016098    0.000000
   1906.65   -0.057907    0.014701    0.114894    0.015207   0.0000154   0.0000000    0.221567    0.000000    0.016356    0.000000
   1906.70   -0.034631    0.015440    0.135183    0.014287  -0.0001501   0.0000000    0.221377    0.000000    0.016397    0.000000
   1906.75   -0.030687    0.017753    0.140327    0.019026   0.0001320   0.0000000    0.222424    0.000000    0.017069    0.000000
   1906.80   -0.026668    0.017633    0.123402    0.016310  -0.0000582   0.0000000    0.224033    0.000000    0.017671    0.000000
   1906.85    0.029129    0.025972    0.189427    0.019888  -0.0002919   0.0000000    0.226124    0.000000    0.018312    0.000000
   1906.90   -0.000102    0.019456    0.169090    0.016950   0.0002767   0.0000000    0.227438    0.000000    0.019516    0.000000
   1906.95    0.007537    0.021168    0.178280    0.022821   0.0000397   0.0000000    0.228109    0.000000    0.020410    0.000000
   1907.00    0.028768    0.026185    0.195495    0.021830  -0.0001412   0.0000000    0.229504    0.000000    0.020479    0.000000
   1907.05    0.030695    0.023332    0.122706    0.025636   0.0002682   0.0000000    0.229415    0.000000    0.020675    0.000000
   1907.10    0.005803    0.022993    0.059049    0.025111  -0.0000280   0.0000000    0.229316    0.000000    0.020117    0.000000
   1907.15    0.011237    0.017751    0.085944    0.018127  -0.0001132   0.0000000    0.230271    0.000000    0.018909    0.000000
   1907.20    0.025874    0.019145    0.045501    0.018842   0.0001483   0.0000000    0.230832    0.000000    0.017842    0.000000
   1907.25    0.010162    0.017945    0.033980    0.018049  -0.0000708   0.0000000    0.230900    0.000000    0.017094    0.000000
   1907.30    0.037491    0.017415   -0.010246    0.018279  -0.0002022   0.0000000    0.232205    0.000000    0.016631    0.000000
   1907.35   -0.004558    0.016074   -0.015746    0.017203   0.0002072   0.0000000    0.232001    0.000000    0.016617    0.000000
   1907.40   -0.018284    0.016879   -0.015142    0.016662  -0.0000738   0.0000000    0.229964    0.000000    0.016777    0.000000
   1907.45   -0.007114    0.015865   -0.040991    0.017099  -0.0002120   0.0000000    0.228902    0.000000    0.016608    0.000000
   1907.50   -0.041869    0.014405   -0.054252    0.013669   0.0002851   0.0000000    0.225898    0.000000    0.017169    0.000000
   1907.55   -0.039571    0.013422   -0.066700    0.013739  -0.0000695   0.0000000    0.222122    0.000000    0.017345    0.000000
   1907.60   -0.062719    0.013805   -0.045591    0.013721  -0.0000428   0.0000000    0.220831    0.000000    0.016910    0.000000
   1907.65   -0.084790    0.012080   -0.037991    0.012719   0.0002455   0.0000000    0.219072    0.000000    0.017344    0.000000
   1907.70   -0.117697    0.012937   -0.015016    0.013833  -0.0000968   0.0000000    0.218967    0.000000    0.017519    0.000000
   1907.75   -0.156780    0.015290    0.021299    0.013672   0.0000021   0.0000000    0.220396    0.000000    0.017841    0.000000
   1907.80   -0.189034    0.018048    0.063237    0.014969   0.0000765   0.0000000    0.221393    0.000000    0.019018    0.000000
   1907.85   -0.160455    0.019452    0.122392    0.020623   0.0000030   0.0000000    0.223427    0.000000    0.019649    0.000000
   1907.90   -0.174341    0.021255    0.161442    0.016961  -0.0002258   0.0000000    0.225313    0.000000    0.020531    0.000000
   1907.95   -0.175613    0.024547    0.206610    0.023997   0.0002208   0.0000000    0.225775    0.000000    0.021195    0.000000
   1908.00   -0.097319    0.020959    0.248645    0.019232  -0.0001996   0.0000000    0.225810    0.000000    0.021805    0.000000
   1908.05   -0.103312    0.023339    0.239472    0.021691  -0.0000979   0.0000000    0.227382    0.000000    0.021303    0.000000
   1908.10   -0.059121    0.021132    0.273750    0.020817   0.0002506   0.0000000    0.227207    0.000000    0.021140    0.000000
   1908.15    0.009696    0.021139    0.247652    0.016430  -0.0001754   0.0000000    0.227729    0.000000    0.020079    0.000000
   1908.20    0.090365    0.026754    0.235721    0.018504   0.0001647   0.0000000    0.229298    0.000000    0.018995    0.000000
   1908.25    0.080794    0.018224    0.218237    0.021374   0.0000977   0.0000000    0.229311    0.000000    0.018199    0.000000
   1908.30    0.155830    0.018801    0.162097    0.016709  -0.0000834   0.0000000    0.229464    0.000000    0.017668    0.000000
   1908.35    0.153049    0.016734    0.112545    0.018829  -0.0000520   0.0000000    0.230066    0.000000    0.017404    0.000000
   1908.40    0.173982    0.016321    0.039710    0.016373   0.0001218   0.0000000    0.228840    0.000000    0.017742    0.000000
   1908.45    0.193477    0.015333    0.020796    0.015661  -0.0000789   0.0000000    0.225866    0.000000    0.017983    0.000000
   1908.50    0.183422    0.014041   -0.054437    0.015260  -0.0000428   0.0000000    0.224148    0.000000    0.017758    0.000000
   1908.55    0.151223    0.015402   -0.109349    0.015737   0.0002445   0.0000000    0.221011    0.000000    0.017950    0.000000
   1908.60    0.107909    0.014256   -0.142527    0.017725  -0.0001881   0.0000000    0.218005    0.000000    0.018017    0.000000
   1908.65    0.055410    0.013924   -0.182206    0.015620   0.0000505   0.0000000    0.218110    0.000000    0.017921    0.000000
   1908.70   -0.006806    0.014573   -0.171755    0.013944   0.0001532   0.0000000    0.217375    0.000000    0.018515    0.000000
   1908.75   -0.062120    0.013914   -0.178753    0.014408  -0.0001424   0.0000000    0.218672    0.000000    0.018822    0.000000
   1908.80   -0.121192    0.013586   -0.143233    0.015109   0.0001184   0.0000000    0.220862    0.000000    0.019775    0.000000
   1908.85   -0.198846    0.020556   -0.118773    0.017931   0.0001066   0.0000000    0.221928    0.000000    0.020876    0.000000
   1908.90   -0.257291    0.018706   -0.059733    0.017970  -0.0000472   0.0000000    0.223779    0.000000    0.021433    0.000000
   1908.95   -0.280187    0.025859   -0.002838    0.018204   0.0000281   0.0000000    0.225755    0.000000    0.022009    0.000000
   1909.00   -0.308554    0.026385    0.086973    0.022226   0.0001664   0.0000000    0.225750    0.000000    0.022357    0.000000
   1909.05   -0.341689    0.019591    0.134833    0.020701  -0.0002102   0.0000000    0.225465    0.000000    0.022472    0.000000
   1909.10   -0.251296    0.031095    0.177473    0.021249   0.0000183   0.0000000    0.226839    0.000000    0.021632    0.000000
   1909.15   -0.246504    0.026736    0.259106    0.023847   0.0001758   0.0000000    0.226768    0.000000    0.020912    0.000000
   1909.20   -0.210340    0.025754    0.316720    0.021168  -0.0002626   0.0000000    0.227612    0.000000    0.019739    0.000000
   1909.25   -0.111972    0.020247    0.334587    0.014935   0.0000207   0.0000000    0.229254    0.000000    0.019067    0.000000
   1909.30   -0.048973    0.016902    0.365470    0.016354  -0.0001057   0.0000000    0.228697    0.000000    0.018541    0.000000
   1909.35    0.031734    0.016585    0.354439    0.015840  -0.0000922   0.0000000    0.228695    0.000000    0.018113    0.000000
   1909.40    0.150542    0.017708    0.322965    0.018760   0.0001133   0.0000000    0.227936    0.000000    0.018012    0.000000
   1909.45    0.204061    0.015508    0.289719    0.016422  -0.0000088   0.0000000    0.225419    0.000000    0.018767    0.000000
   1909.50    0.260644    0.016203    0.206506    0.015492  -0.0000171   0.0000000    0.221845    0.000000    0.018510    0.000000
   1909.55    0.287889    0.013786    0.107887    0.015219   0.0000117   0.0000000    0.220089    0.000000    0.018414    0.000000
   1909.60    0.317580    0.014357    0.078560    0.016303   0.0001566   0.0000000    0.217528    0.000000    0.018374    0.000000
   1909.65    0.297745    0.016007   -0.000231    0.016583  -0.0002097   0.0000000    0.215686    0.000000    0.018522    0.000000
   1909.70    0.230449    0.020035   -0.081271    0.016225   0.0000322   0.0000000    0.216886    0.000000    0.019066    0.000000
   1909.75    0.189416    0.017802   -0.138535    0.014603   0.0001526   0.0000000    0.217593    0.000000    0.019397    0.000000
   1909.80    0.086820    0.016824   -0.192006    0.016193  -0.0002169   0.0000000    0.219223    0.000000    0.019861    0.000000
   1909.85    0.011905    0.025057   -0.230794    0.018873   0.0002228   0.0000000    0.221710    0.000000    0.021253    0.000000
   1909.90   -0.099779    0.019586   -0.198973    0.015519   0.0000904   0.0000000    0.222673    0.000000    0.022217    0.000000
   1909.95   -0.183716    0.019609   -0.173293    0.021469  -0.0000844   0.0000000    0.223971    0.000000    0.022343    0.000000
   1910.00   -0.230071    0.017878   -0.132307    0.023836   0.0001299   0.0000000    0.225636    0.000000    0.022744    0.000000
   1910.05   -0.309105    0.024312   -0.077629    0.022971   0.0000000   0.0000000    0.224852    0.000000    0.022918    0.000000
   1910.10   -0.333671    0.029335   -0.017703    0.021881  -0.0001224   0.0000000    0.224995    0.000000    0.021981    0.000000
   1910.15   -0.330203    0.018671    0.093020    0.021539   0.0000818   0.0000000    0.226264    0.000000    0.021280    0.000000
   1910.20   -0.355087    0.020041    0.105172    0.017379   0.0001138   0.0000000    0.226241    0.000000    0.020235    0.000000
   1910.25   -0.347424    0.018224    0.227494    0.020886  -0.0002401   0.0000000    0.227662    0.000000    0.019131    0.000000
   1910.30   -0.310534    0.015629    0.324057    0.017844   0.0001378   0.0000000    0.228755    0.000000    0.018832    0.000000
   1910.35   -0.214815    0.017843    0.362036    0.017197   0.0000115   0.0000000    0.227302    0.000000    0.018792    0.000000
   1910.40   -0.110952    0.024313    0.383615    0.022440  -0.0002379   0.0000000    0.227052    0.000000    0.018087    0.000000
   1910.45   -0.041847    0.017914    0.411887    0.019908   0.0001295   0.0000000    0.225142    0.000000    0.018525    0.000000
   1910.50    0.080234    0.014925    0.428797    0.018870  -0.0000416   0.0000000    0.221918    0.000000    0.019209    0.000000
   1910.55    0.180625    0.015936    0.392718    0.016705  -0.0000964   0.0000000    0.218902    0.000000    0.018464    0.000000
   1910.60    0.248582    0.015732    0.340615    0.017807   0.0000499   0.0000000    0.217564    0.000000    0.019081    0.000000
   1910.65    0.297441    0.022560    0.263077    0.020174   0.0000083   0.0000000    0.215739    0.000000    0.018825    0.000000
   1910.70    0.312786    0.016763    0.157836    0.017291  -0.0001405   0.0000000    0.215714    0.000000    0.019024    0.000000
   1910.75    0.310399    0.016241    0.055416    0.017011   0.0000920   0.0000000    0.217351    0.000000    0.020029    0.000000
   1910.80    0.286600    0.016682   -0.049504    0.015753   0.0000404   0.0000000    0.218831    0.000000    0.020223    0.000000
   1910.85    0.216498    0.020001   -0.064833    0.020207  -0.0003123   0.0000000    0.220923    0.000000    0.020601    0.000000
   1910.90    0.179130    0.022274   -0.136391    0.023699   0.0001861   0.0000000    0.222974    0.000000    0.022294    0.000000
   1910.95    0.072837    0.024667   -0.192525    0.021657  -0.0000967   0.0000000    0.223242    0.000000    0.023058    0.000000
   1911.00    0.001948    0.025928   -0.195251    0.027220  -0.0001449   0.0000000    0.224304    0.000000    0.022544    0.000000
   1911.05   -0.135656    0.022578   -0.169097    0.026695   0.0001866   0.0000000    0.225198    0.000000    0.023037    0.000000
   1911.10   -0.169838    0.022138   -0.175554    0.019652  -0.0000061   0.0000000    0.224218    0.000000    0.022648    0.000000
   1911.15   -0.235087    0.026233   -0.100965    0.022478  -0.0000283   0.0000000    0.225526    0.000000    0.020938    0.000000
   1911.20   -0.268991    0.037139   -0.028784    0.032041   0.0000865   0.0000000    0.226539    0.000000    0.020491    0.000000
   1911.25   -0.301631    0.018678    0.043143    0.016948   0.0000071   0.0000000    0.225748    0.000000    0.019470    0.000000
   1911.30   -0.312097    0.020228    0.110209    0.018549  -0.0002210   0.0000000    0.227860    0.000000    0.018322    0.000000
   1911.35   -0.292997    0.020105    0.205683    0.017810   0.0002967   0.0000000    0.227958    0.000000    0.018411    0.000000
   1911.40   -0.212840    0.023230    0.261310    0.018061   0.0000342   0.0000000    0.225368    0.000000    0.018754    0.000000
   1911.45   -0.202720    0.019365    0.367137    0.017790  -0.0002435   0.0000000    0.224507    0.000000    0.017953    0.000000
